year,M_GDP,M_GDP_R,M_GDP_R_GR,M_TFP_GR,M_CPI,M_MARKET_RATE,M_BOND_RATE,M_WAGE,M_POP,M_POP_0_14,M_POP_15_44,M_POP_45_64,M_POP_65_74,M_POP_75_o,M_POP_40_64,M_POP_65o
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,0.033044478,35.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,0.033044478,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,0.033044478,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,-0.015187553,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,0.010772647,57.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,0.020603598,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,0.008253549,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,0.024278278,69.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,0.036088313,72.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,0.021019228,78.3,NA,NA,159424,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,0.012817706,81.4,NA,NA,171126.1,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,0.003512876,83.7,NA,NA,179844.9,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,-0.009232271,85.1,NA,NA,188232.8,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,0.005381811,87,NA,NA,198058.8,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,0.036783453,88.6,NA,NA,207391.9,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,-0.011193826,89,NA,NA,211939.5,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,0.011561387,89.3,NA,NA,219794.5,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,0.032720069,89.9,NA,NA,233170.8,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,0.02448849,92.4,NA,5.1504779,248581.8,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,0.039412713,94.9,NA,6.8681626,264951.7,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,0.010036325,97.4,NA,6.3812439,285524.6,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,-0.014920809,99.5,NA,5.3506842,293327.6,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,-0.009541081,100.6,NA,4.3524675,294962.9,NA,NA,NA,NA,NA,NA,NA,NA
1994,495612.2,447167.4,NA,-0.005203385,101.1,NA,3.9076694,302675.8,NA,NA,NA,NA,NA,NA,NA,NA
1995,504594.3,459057.6,0.026590042,-0.004275072,101.1,NA,3.4657751,300238.8,NA,NA,NA,NA,NA,NA,NA,NA
1996,515943.9,471311.4,0.026693382,0.01648538,101.5,NA,3.1195506,303545.8,NA,NA,NA,NA,NA,NA,NA,NA
1997,521295.4,472005.5,0.001472699,0.007855031,103.6,NA,2.376551,308440.2,NA,NA,NA,NA,NA,NA,NA,NA
1998,510919.2,464970.4,-0.014904699,-0.020823821,103.4,NA,1.5277854,306474.7,NA,NA,NA,NA,NA,NA,NA,NA
1999,506599.2,467481.1,0.005399699,0.007175424,103.3,NA,1.7452816,305794.3,NA,NA,NA,NA,NA,NA,NA,NA
2000,510834.7,476723.3,0.019770211,0.006900869,102.8,NA,1.7463145,299570.5,126926,18506,50487,35893,13028,9013,43707,NA
2001,501710.6,474685.4,-0.004274807,0.003443165,101.9,1.375,1.3298862,291952.8,127291,18283,50349,35790,13336,9531,43546,NA
2002,498008.8,479870.8,0.010923867,0.009852202,101.1,1.375,1.2717886,290763.7,127435,18102,50188,35518,13585,10044,43315,NA
2003,501889.1,490755.9,0.022683397,0.013488754,100.9,1.375,0.9910449,289533.4,127619,17905,49990,35416,13764,10548,43275,NA
2004,502760.8,497912.6,0.014583014,0.01483268,100.7,1.375,1.5044919,288272.5,127687,17734,49630,35446,13809,11067,43355,NA
2005,505349.4,507158,0.018568319,0.013304693,100.7,1.375,1.3843714,289641,127768,17585,48968,35454,14121,11638,43567,NA
2006,509106.3,516038.2,0.017509731,-0.001695311,100.8,1.375,1.740875,292077.8,127770,17434,48649,35081,14438,12166,43063,NA
2007,513023.3,525469.9,0.018277135,0.026221664,101.1,1.875,1.6819918,290974.2,127771,17292,48324,34690,14760,12704,42910,NA
2008,489520.1,505794.7,-0.037443058,-0.011985246,102.3,1.875,1.4942735,288450.4,127692,17176,47901,34399,14998,13217,42805,NA
2009,473933.9,495497.8,-0.020357865,-0.060881864,100.7,1.475,1.3533786,287947.8,127510,17010,47381,34112,15296,13711,42693,NA
2010,480232.5,512422.5,0.034156963,0.038479456,99.8,1.475,1.1536571,287341.5,128057,16839,47103,34633,15290,14193,43442,NA
2011,473904.8,514412.7,0.003883904,0.00602328,99.8,1.475,1.125049,287897.2,127799,16705,46784,34557,15045,14708,43872,NA
2012,474474.9,519631.8,0.010145745,0.00602328,99.6,1.475,0.8586653,286440.6,127515,16548,46092,34083,15600,15192,43552,NA
2013,483110.3,530591.5,0.02109128,0.00602328,100.4,1.475,0.7149143,287578.3,127298,16390,45471,33537,16295,15604,43204,NA
2014,NA,NA,NA,NA,103.2,1.475,0.5542787,NA,126948,16066,44799,33002,17089,15990,42793,NA
2015,NA,NA,NA,NA,NA,1.475,0.3231053,NA,126597,15827,44101,32717,17494,16458,42500,NA
2016,NA,NA,NA,NA,NA,NA,NA,NA,126193,15574,43340,32639,17612,17029,42278,NA
2017,NA,NA,NA,NA,NA,NA,NA,NA,125739,15311,42517,32728,17580,17602,42090,NA
2018,NA,NA,NA,NA,NA,NA,NA,NA,125236,15056,41629,32955,17501,18094,41961,NA
2019,NA,NA,NA,NA,NA,NA,NA,NA,124689,14800,40761,33250,17279,18598,41871,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,124100,14568,39956,33452,17334,18790,41751,NA
2021,NA,NA,NA,NA,NA,NA,NA,NA,123474,14318,39238,33628,17422,18868,41622,NA
2022,NA,NA,NA,NA,NA,NA,NA,NA,122813,14049,38614,33794,16736,19620,41554,NA
2023,NA,NA,NA,NA,NA,NA,NA,NA,122122,13766,38038,33882,16007,20429,41446,NA
2024,NA,NA,NA,NA,NA,NA,NA,NA,121403,13505,37500,33869,15318,21212,41288,NA
2025,NA,NA,NA,NA,NA,NA,NA,NA,120659,13240,36998,33847,14788,21786,41116,NA
2026,NA,NA,NA,NA,NA,NA,NA,NA,119891,12959,36575,33774,14385,22199,40908,NA
2027,NA,NA,NA,NA,NA,NA,NA,NA,119102,12706,36133,33665,14109,22488,40656,NA
2028,NA,NA,NA,NA,NA,NA,NA,NA,118293,12466,35680,33507,13972,22668,40330,NA
2029,NA,NA,NA,NA,NA,NA,NA,NA,117465,12242,35224,33298,13964,22737,39935,NA
2030,NA,NA,NA,NA,NA,NA,NA,NA,116618,12039,34784,32946,14065,22784,39410,NA
2031,NA,NA,NA,NA,NA,NA,NA,NA,115752,11856,34370,32854,13906,22767,39181,NA
2032,NA,NA,NA,NA,NA,NA,NA,NA,114870,11692,33954,32376,14178,22670,38604,NA
2033,NA,NA,NA,NA,NA,NA,NA,NA,113970,11544,33545,31867,14418,22595,38014,NA
2034,NA,NA,NA,NA,NA,NA,NA,NA,113054,11410,33150,31291,14661,22542,37420,NA
2035,NA,NA,NA,NA,NA,NA,NA,NA,112124,11287,32766,30664,14953,22454,36802,NA
2036,NA,NA,NA,NA,NA,NA,NA,NA,111179,11171,32383,29974,15304,22347,36105,NA
2037,NA,NA,NA,NA,NA,NA,NA,NA,110220,11060,31973,29256,15678,22253,35374,NA
2038,NA,NA,NA,NA,NA,NA,NA,NA,109250,10951,31562,28497,16042,22197,34618,NA
2039,NA,NA,NA,NA,NA,NA,NA,NA,108268,10842,31114,27803,16340,22168,33881,NA
2040,NA,NA,NA,NA,NA,NA,NA,NA,107276,10732,30662,27204,16448,22230,33240,NA
2041,NA,NA,NA,NA,NA,NA,NA,NA,106275,10618,30236,26652,16758,22011,32668,NA
2042,NA,NA,NA,NA,NA,NA,NA,NA,105267,10500,29796,26189,16660,22123,32162,NA
2043,NA,NA,NA,NA,NA,NA,NA,NA,104253,10377,29344,25773,16520,22239,31666,NA
2044,NA,NA,NA,NA,NA,NA,NA,NA,103233,10249,28905,25403,16286,22390,31217,NA
2045,NA,NA,NA,NA,NA,NA,NA,NA,102210,10116,28461,25070,15997,22567,30765,NA
2046,NA,NA,NA,NA,NA,NA,NA,NA,101185,9978,28023,24786,15606,22792,30378,NA
2047,NA,NA,NA,NA,NA,NA,NA,NA,100158,9835,27594,24504,15162,23062,30014,NA
2048,NA,NA,NA,NA,NA,NA,NA,NA,99131,9689,27188,24197,14688,23369,29659,NA
2049,NA,NA,NA,NA,NA,NA,NA,NA,98103,9539,26794,23889,14233,23648,29290,NA
2050,NA,NA,NA,NA,NA,NA,NA,NA,97076,9387,26432,23581,13830,23846,28959,NA
